id_transaction;date;id_produit;id_magasin;id_client;quantite;prix_unitaire
1003;2026-01-01;P048;M20;C381;6;1500
1015;2026-01-01;P008;M05;C686;1;3700
1462;2026-01-01;P008;M07;C355;2;3800
1656;2026-01-01;P011;M01;C735;1;2100
1686;2026-01-01;P028;M18;C484;1;11550
1943;2026-01-01;P008;M11;C455;3;4000
1980;2026-01-01;P015;M01;C636;3;6000
2181;2026-01-01;P001;M07;C404;1;2600
2319;2026-01-01;P029;M13;C684;10;1950
2525;2026-01-01;P047;M20;C433;1;22850
2589;2026-01-01;P036;M11;C403;1;81750
2762;2026-01-01;P011;M04;C656;2;2000
2821;2026-01-01;P018;M06;C542;1;3500
2827;2026-01-01;P023;M15;C769;1;9100
2914;2026-01-01;P008;M07;C439;1;3800
2951;2026-01-01;P024;M07;C305;2;6050
3201;2026-01-01;P011;M18;C548;3;2100
3236;2026-01-01;P042;M11;C739;1;15200
3237;2026-01-01;P010;M07;C591;1;4300
3383;2026-01-01;P049;M03;C320;2;2950
3499;2026-01-01;P004;M01;C694;2;2250
3719;2026-01-01;P044;M01;C711;2;8850
3727;2026-01-01;P004;M19;C679;5;2250
3867;2026-01-01;P043;M09;C583;1;3400
3936;2026-01-01;P001;M13;C498;1;2500
1063;2026-01-02;P007;M08;C331;3;3250
1065;2026-01-02;P001;M14;C575;1;2600
1281;2026-01-02;P007;M11;C783;6;3150
1509;2026-01-02;P032;M17;C606;1;14600
2020;2026-01-02;P039;M20;C613;3;39600
2221;2026-01-02;P003;M02;C665;1;1900
2274;2026-01-02;P013;M19;C353;10;3050
2281;2026-01-02;P003;M02;C551;5;1850
2352;2026-01-02;P027;M17;C367;3;1750
2415;2026-01-02;P015;M08;C786;2;6250
2495;2026-01-02;P045;M12;C624;1;8600
2551;2026-01-02;P026;M08;C311;1;7550
2557;2026-01-02;P039;M06;C471;3;39500
2600;2026-01-02;P049;M06;C739;1;3100
3109;2026-01-02;P048;M06;C787;1;1450
3278;2026-01-02;P027;M11;C646;6;1850
3400;2026-01-02;P004;M08;C760;10;2100
3423;2026-01-02;P024;M14;C710;1;6250
3655;2026-01-02;P040;M12;C750;4;5000
3664;2026-01-02;P013;M01;C577;3;2900
3948;2026-01-02;P045;M07;C490;1;8350
1532;2026-01-03;P027;M06;C369;1;1750
1743;2026-01-03;P001;M01;C704;2;2550
1885;2026-01-03;P027;M11;C463;1;1800
2001;2026-01-03;P013;M05;C647;4;2900
2053;2026-01-03;P009;M04;C725;5;2850
2063;2026-01-03;P008;M20;C646;3;3650
2361;2026-01-03;P005;M06;C796;1;4350
2452;2026-01-03;P048;M13;C439;1;1450
2493;2026-01-03;P016;M09;C621;3;7200
2811;2026-01-03;P017;M11;C604;2;2400
2854;2026-01-03;P034;M12;C441;2;34200
2874;2026-01-03;P011;M05;C592;3;2150
3045;2026-01-03;P042;M09;C525;2;15850
3462;2026-01-03;P001;M06;C395;4;2550
3473;2026-01-03;P018;M14;C365;6;3400
3661;2026-01-03;P019;M13;C579;2;1250
3958;2026-01-03;P027;M05;C312;1;1900
1216;2026-01-04;P044;M17;C330;2;9300
1363;2026-01-04;P014;M01;C329;3;2800
1601;2026-01-04;P013;M13;C545;4;2900
1687;2026-01-04;P007;M13;C502;3;3250
1741;2026-01-04;P029;M11;C551;3;2000
1869;2026-01-04;P003;M01;C335;1;1800
2095;2026-01-04;P023;M11;C472;1;9800
2104;2026-01-04;P017;M06;C399;1;2300
2301;2026-01-04;P048;M05;C439;1;1450
2409;2026-01-04;P027;M08;C328;3;1850
2422;2026-01-04;P007;M03;C355;2;3050
2499;2026-01-04;P011;M04;C673;1;2150
2745;2026-01-04;P015;M05;C490;1;6000
2955;2026-01-04;P020;M20;C321;2;8750
2958;2026-01-04;P004;M20;C526;6;2100
2959;2026-01-04;P017;M15;C679;1;2350
3112;2026-01-04;P043;M02;C426;1;3550
3182;2026-01-04;P043;M17;C496;2;3650
3206;2026-01-04;P001;M12;C516;2;2400
